2023-08-11 13:11:15 - root - INFO - ------------------------------------------------
2023-08-11 13:11:15 - root - INFO - Correction process
2023-08-11 13:11:15 - root - INFO - ------------------------------------------------
2023-08-11 13:11:15 - root - INFO -    data files
2023-08-11 13:11:15 - root - INFO -       data file: C:/Users/FTrevisan/Documents/GitHub/13C-Citrate CSIA (Umea)/20230714_AccQ-Tag_AA_peak areas_inhouse_script 2.0_IsoCor.tsv
2023-08-11 13:11:15 - root - INFO -       derivatives database: C:\Users\FTrevisan\isocordb\Derivatives.dat
2023-08-11 13:11:15 - root - INFO -       metabolites database: C:\Users\FTrevisan\isocordb\Metabolites.dat
2023-08-11 13:11:15 - root - INFO -    correction parameters
2023-08-11 13:11:15 - root - INFO -       isotopic tracer: 13C
2023-08-11 13:11:15 - root - INFO -       correct natural abundance of the tracer element: 1
2023-08-11 13:11:15 - root - INFO -       isotopic purity of the tracer: [0.01, 0.99]
2023-08-11 13:11:16 - root - INFO - 098_A75.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 099_A76.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 100_A77.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 101_A78.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 102_A79.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 103_A80.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 105_A81.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 106_A82.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 107_A83.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 108_A84.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 109_A85.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 110_A86.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 111_A87.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 112_A88.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 113_A89.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 114_A90.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 116_A91.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 117_A92.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 118_A93.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 119_A94.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 120_A95.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 121_A96.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 122_A97.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 123_A98.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 124_A99.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 125_A100.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 127_A101.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 128_A102.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 129_A103.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 130_A104.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 131_A105.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 132_A106.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 133_A107.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 134_A108.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 135_A109.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 137_A110.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 138_A111.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 139_A112.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 140_A113.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 141_A114.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 142_A115.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 143_A116.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 144_A117.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 145_A118.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 147_A119.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:17 - root - INFO - 148_A120.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 018_A1.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 019_A2.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 020_A3.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 021_A4.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 022_A5.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 023_A6.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 024_A7.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 025_A8.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 026_A9.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 027_A10.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 029_A11.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 030_A12.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 031_A13.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 032_A14.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 033_A15.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 034_A17.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 035_A18.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 036_A19.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 037_A20.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 039_A21.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 040_A22.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 041_A23.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 042_A24.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:18 - root - INFO - 043_A25.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 044_A26.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 045_A27.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 046_A28.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 047_A29.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 048_A30.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 050_A31.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 051_A32.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 052_A33.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 053_A34.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 054_A35.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 055_A36.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 056_A37.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 057_A38.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 058_A39.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 059_A40.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 061_A41.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 062_A42.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 063_A43.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 064_A44.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 065_A45.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 066_A46.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 067_A47.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 068_A48.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 069_A49.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 070_A50.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 072_A51.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 073_A52.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 074_A53.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 075_A54.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 076_A55.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 077_A56.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 078_A57.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 079_A58.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 080_A59.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 081_A60.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 083_A61.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 084_A62.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 085_A63.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 086_A64.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 087_A65.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 088_A66.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 089_A67.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:19 - root - INFO - 090_A68.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 091_A69.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 092_A70.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 094_A71.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 095_A72.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 096_A73.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 097_A74.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 098_A75.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 099_A76.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 100_A77.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 101_A78.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 102_A79.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 103_A80.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 105_A81.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 106_A82.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 107_A83.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 108_A84.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 109_A85.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 110_A86.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 111_A87.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 112_A88.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 113_A89.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 114_A90.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 116_A91.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 117_A92.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 118_A93.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 119_A94.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 120_A95.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 121_A96.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 122_A97.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 123_A98.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 124_A99.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 125_A100.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 127_A101.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 128_A102.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 129_A103.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:20 - root - INFO - 130_A104.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:21 - root - INFO - 131_A105.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:21 - root - INFO - 132_A106.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:21 - root - INFO - 133_A107.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:21 - root - INFO - 134_A108.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:21 - root - INFO - 135_A109.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:21 - root - INFO - 137_A110.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:21 - root - INFO - 138_A111.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:21 - root - INFO - 139_A112.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:21 - root - INFO - 140_A113.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:21 - root - INFO - 141_A114.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:21 - root - INFO - 142_A115.cdf - ('Arginine', 'AccQ'): processed
2023-08-11 13:11:21 - root - INFO - 143_A116.cdf - ('Arginine', 'AccQ'): processed
