histidine-AccQ; Formula; C16H15N5O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
histidine-AccQ; Tgt RT;2.54; minutes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
histidine-AccQ; RT tolerance;0.2; minutes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
histidine-AccQ; m/z tolerance;15; ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
histidine-AccQ; Abundance metric; EicCoreArea; (20.0 % threshold);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;;;; Ion Abundance;;;;;;;;;;;;;;;;;; Corrected Abundance Percentages;;;;;;;;;;;;;;;;;; Summary Statistics;;;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;;;;m+0;m+1;m+2;m+3;m+4;m+5;m+6;m+7;m+8;m+9;m+10;m+11;m+12;m+13;m+14;m+15;m+16;Abund;m+0;m+1;m+2;m+3;m+4;m+5;m+6;m+7;m+8;m+9;m+10;m+11;m+12;m+13;m+14;m+15;m+16;Abund;%; %; % Fractional;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;021_A4.d;2.461;957260;198841;28432;6695;0;0;0;0;0;0;0;0;0;0;0;0;0;1191228;97.99;1.32;0.31;0.38;0;0;0;0;0;0;0;0;0;0;0;0;0;100;97.99;2.01;0.19;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;022_A5.d;2.461;1723855;386785;60874;9733;0;0;0;0;0;0;0;0;0;0;0;0;0;2181247;96.36;2.92;0.56;0.16;0;0;0;0;0;0;0;0;0;0;0;0;0;100;96.36;3.64;0.28;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;023_A6.d;2.464;2208611;552713;80753;12736;0;0;0;0;7367;0;0;0;0;0;0;0;0;2862180;93.97;5.31;0.21;0.18;0;0;0;0;0.34;0;0;0;0;0;0;0;0;100;93.97;6.03;0.56;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;024_A7.d;2.467;964408;199252;28360;5236;0;0;0;0;0;0;0;0;0;0;0;0;0;1197256;98.25;1.22;0.3;0.23;0;0;0;0;0;0;0;0;0;0;0;0;0;100;98.25;1.75;0.16;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;025_A8.d;2.473;1339405;285059;47612;6838;0;0;0;0;0;0;0;0;0;0;0;0;0;1678913;97.3;1.8;0.8;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;97.3;2.7;0.23;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;026_A9.d;2.466;1207416;260775;46995;7296;3575;0;0;0;3967;0;0;0;0;0;0;0;0;1530025;96.16;2.08;1.06;0.14;0.22;0;0;0;0.34;0;0;0;0;0;0;0;0;100;96.16;3.84;0.51;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;027_A10.d;2.472;1507954;329315;51350;7383;0;0;0;0;0;0;0;0;0;0;0;0;0;1896001;96.99;2.35;0.55;0.11;0;0;0;0;0;0;0;0;0;0;0;0;0;100;96.99;3.01;0.24;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;028_QC_1.d;2.473;2065628;499432;67085;13853;0;0;0;0;0;0;0;0;0;0;0;0;0;2645999;95.12;4.56;0;0.32;0;0;0;0;0;0;0;0;0;0;0;0;0;100;95.12;4.88;0.35;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;029_A11.d;2.472;467363;103884;16988;3578;0;0;0;0;0;3542;0;0;0;0;0;0;0;595355;95.51;2.69;0.69;0.34;0;0;0;0;0;0.79;0;0;0;0;0;0;0;100;95.51;4.49;0.76;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;030_A12.d;2.472;208726;44786;8474;0;6008;0;0;0;0;0;1990;0;0;0;0;0;0;269984;93.3;1.89;1.14;0;2.69;0;0;0;0;0;0.98;0;0;0;0;0;0;100;93.3;6.7;1.54;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;031_A13.d;2.47;470973;92945;21687;5506;0;0;0;0;0;0;0;0;0;0;0;0;0;591111;97.09;0.26;2.11;0.54;0;0;0;0;0;0;0;0;0;0;0;0;0;100;97.09;2.91;0.38;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;032_A14.d;2.473;532547;120567;22209;4071;0;0;0;0;0;0;0;0;0;0;0;0;0;679395;95.54;3.08;1.14;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;100;95.54;4.46;0.38;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;033_A15.d;2.47;678643;131297;25201;4091;0;0;0;0;0;0;0;0;0;0;0;0;0;839232;98.54;0;1.31;0.14;0;0;0;0;0;0;0;0;0;0;0;0;0;100;98.54;1.46;0.19;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;034_A17.d;2.472;521316;101806;17122;5200;0;0;0;0;0;0;0;0;0;0;0;0;0;645445;98.46;0.08;0.85;0.61;0;0;0;0;0;0;0;0;0;0;0;0;0;100;98.46;1.54;0.23;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;035_A18.d;2.469;791774;158833;23153;0;2891;0;0;0;3050;0;0;0;0;0;0;0;0;979701;98.28;0.62;0.35;0;0.34;0;0;0;0.41;0;0;0;0;0;0;0;0;100;98.28;1.72;0.37;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;036_A19.d;2.462;489907;97685;18128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;605720;98.38;0.49;1.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;98.38;1.62;0.17;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;037_A20.d;2.471;517790;107040;21030;4088;0;0;0;0;0;0;0;0;0;0;0;0;0;649947;97.13;1.19;1.41;0.28;0;0;0;0;0;0;0;0;0;0;0;0;0;100;97.13;2.87;0.3;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;038_QC_2.d;2.475;2009682;499093;70647;13258;0;0;0;0;0;0;0;0;0;0;0;0;0;2592679;94.46;5.16;0.1;0.28;0;0;0;0;0;0;0;0;0;0;0;0;0;100;94.46;5.54;0.39;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;039_A21.d;2.467;2855788;685857;98164;11988;0;0;0;0;0;0;0;0;0;0;0;0;0;3651797;95.35;4.42;0.18;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;100;95.35;4.65;0.31;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;040_A22.d;2.466;4579689;1116063;164653;24684;4775;0;0;0;6228;0;0;0;1431;0;0;0;0;5897522;94.65;4.72;0.27;0.15;0.04;0;0;0;0.14;0;0;0;0.03;0;0;0;0;100;94.65;5.35;0.46;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;041_A23.d;2.466;3084140;738804;102948;16041;0;0;0;0;0;0;0;0;0;0;0;0;0;3941932;95.38;4.36;0.09;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;100;95.38;4.62;0.32;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;042_A24.d;2.469;2432070;563460;82077;16303;0;0;0;0;0;0;0;0;0;0;0;0;0;3093910;95.82;3.61;0.27;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;100;95.82;4.18;0.32;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;043_A25.d;2.468;3062629;725155;101049;17213;5543;0;0;0;0;0;0;0;0;0;0;0;0;3911589;95.47;4.1;0.1;0.22;0.11;0;0;0;0;0;0;0;0;0;0;0;0;100;95.47;4.53;0.34;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;044_A26.d;2.463;4027633;994759;146552;21667;0;0;0;0;0;0;0;0;0;0;0;0;0;5190611;94.58;5.03;0.25;0.14;0;0;0;0;0;0;0;0;0;0;0;0;0;100;94.58;5.42;0.37;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;045_A27.d;2.462;3911063;943780;133615;19769;0;0;0;0;0;0;0;0;0;0;0;0;0;5008226;95.2;4.52;0.14;0.14;0;0;0;0;0;0;0;0;0;0;0;0;0;100;95.2;4.8;0.33;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;046_A28.d;2.474;2448185;591483;82900;11951;0;0;0;0;0;0;0;0;0;0;0;0;0;3134519;95.22;4.55;0.1;0.13;0;0;0;0;0;0;0;0;0;0;0;0;0;100;95.22;4.78;0.32;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;047_A29.d;2.478;2696180;672809;98299;18059;4506;0;0;0;0;0;0;0;0;0;0;0;0;3489853;94.18;5.25;0.21;0.27;0.08;0;0;0;0;0;0;0;0;0;0;0;0;100;94.18;5.82;0.43;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;048_A30.d;2.476;4505130;1097986;160848;23452;3584;0;0;0;0;0;0;0;0;0;0;0;0;5790999;94.8;4.81;0.23;0.14;0.02;0;0;0;0;0;0;0;0;0;0;0;0;100;94.8;5.2;0.36;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;049_QC_3.d;2.48;1962454;471248;63551;11169;0;0;0;0;0;0;0;0;0;0;0;0;0;2508421;95.36;4.41;0;0.23;0;0;0;0;0;0;0;0;0;0;0;0;0;100;95.36;4.64;0.32;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;050_A31.d;2.48;1542102;376474;49437;8467;1129;0;0;0;0;0;0;0;0;0;0;0;0;1977609;94.98;4.8;0;0.21;0.01;0;0;0;0;0;0;0;0;0;0;0;0;100;94.98;5.02;0.34;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;051_A32.d;2.468;1243481;264825;45904;8913;0;0;0;0;2496;0;0;0;0;0;0;0;0;1565620;96.79;1.81;0.92;0.27;0;0;0;0;0.21;0;0;0;0;0;0;0;0;100;96.79;3.21;0.38;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;052_A33.d;2.476;1660353;375649;57349;9079;0;0;0;0;0;0;0;0;0;0;0;0;0;2102429;96.29;3.1;0.45;0.16;0;0;0;0;0;0;0;0;0;0;0;0;0;100;96.29;3.71;0.28;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;053_A34.d;2.48;1281486;256331;39388;7071;3317;0;0;0;0;0;0;0;0;0;0;0;0;1587593;98.48;0.56;0.56;0.21;0.19;0;0;0;0;0;0;0;0;0;0;0;0;100;98.48;1.52;0.19;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;054_A35.d;2.471;1750159;398931;61770;7638;0;0;0;0;0;0;0;0;0;0;0;0;0;2218497;96.2;3.26;0.49;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;100;96.2;3.8;0.27;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;055_A36.d;2.477;1281267;285010;46888;6888;0;0;0;0;0;0;0;0;0;0;0;0;0;1620054;96.44;2.73;0.72;0.11;0;0;0;0;0;0;0;0;0;0;0;0;0;100;96.44;3.56;0.28;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;056_A37.d;2.479;1412503;303028;45781;7683;0;0;0;0;0;0;0;0;0;0;0;0;0;1768996;97.38;1.98;0.45;0.19;0;0;0;0;0;0;0;0;0;0;0;0;0;100;97.38;2.62;0.22;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;057_A38.d;2.491;751377;156499;27669;4237;0;0;0;0;3159;0;0;0;0;0;0;0;0;942940;97.08;1.35;1.01;0.12;0;0;0;0;0.44;0;0;0;0;0;0;0;0;100;97.08;2.92;0.45;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;058_A39.d;2.492;1288355;247011;39576;7213;0;0;0;0;5028;0;0;0;0;0;0;0;0;1587183;98.71;0;0.66;0.21;0;0;0;0;0.41;0;0;0;0;0;0;0;0;100;98.71;1.29;0.33;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;059_A40.d;2.495;951580;190169;36708;4583;0;0;0;0;0;0;0;0;0;0;0;0;0;1183040;98.12;0.52;1.35;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;100;98.12;1.88;0.2;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;060_QC_4.d;2.495;2020202;471101;74630;12232;2922;0;0;0;0;0;0;0;0;0;0;0;0;2581087;95.44;3.74;0.55;0.19;0.07;0;0;0;0;0;0;0;0;0;0;0;0;100;95.44;4.56;0.36;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;061_A41.d;2.495;442359;89815;15343;3706;0;0;0;0;0;0;0;0;0;0;0;0;0;551222;97.84;0.85;0.89;0.43;0;0;0;0;0;0;0;0;0;0;0;0;0;100;97.84;2.16;0.24;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;062_A42.d;2.505;752472;140839;27132;5751;0;0;0;0;0;0;0;0;0;0;0;0;0;926193;98.48;0;1.2;0.32;0;0;0;0;0;0;0;0;0;0;0;0;0;100;98.48;1.52;0.21;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;063_A43.d;2.507;830674;167428;33641;4232;0;0;0;0;0;0;0;0;0;0;0;0;0;1035975;97.81;0.69;1.51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;97.81;2.19;0.23;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;064_A44.d;2.507;696266;148083;25126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;869474;97.41;1.8;0.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;97.41;2.59;0.21;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;065_A45.d;2.511;189643;44262;9025;0;0;0;0;0;0;0;2660;0;0;0;0;0;0;245590;93.43;3.67;1.46;0;0;0;0;0;0;0;1.44;0;0;0;0;0;0;100;93.43;6.57;1.31;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;066_A46.d;2.508;552265;126649;18015;4073;0;0;0;0;0;0;0;0;0;0;0;0;0;701002;96.03;3.39;0.2;0.38;0;0;0;0;0;0;0;0;0;0;0;0;0;100;96.03;3.97;0.31;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;067_A47.d;2.511;492576;101818;16297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;610691;98.17;1.22;0.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;98.17;1.83;0.15;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;068_A48.d;2.506;525796;112860;18817;1563;0;0;0;0;0;0;0;0;0;0;0;0;0;659036;97.24;1.98;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;97.24;2.76;0.22;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;069_A49.d;2.508;765279;160033;30941;5021;0;0;0;0;0;0;0;0;0;0;0;0;0;961274;97.07;1.43;1.35;0.15;0;0;0;0;0;0;0;0;0;0;0;0;0;100;97.07;2.93;0.29;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;070_A50.d;2.514;1106757;232303;45241;6055;0;0;0;0;0;0;0;0;0;0;0;0;0;1390357;97.08;1.5;1.38;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;100;97.08;2.92;0.27;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;071_QC_5.d;2.508;1939228;459540;72686;9752;2668;0;0;0;0;0;0;0;0;0;0;0;0;2483873;95.2;4.09;0.54;0.08;0.08;0;0;0;0;0;0;0;0;0;0;0;0;100;95.2;4.8;0.36;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;072_A51.d;2.506;3180636;767957;116856;18030;0;0;0;0;0;2130;0;0;0;0;0;0;0;4085607;94.88;4.51;0.38;0.16;0;0;0;0;0;0.07;0;0;0;0;0;0;0;100;94.88;5.12;0.4;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;073_A52.d;2.506;3514364;856878;121244;22154;0;0;0;0;0;0;0;0;0;0;0;0;0;4514639;94.88;4.75;0.12;0.26;0;0;0;0;0;0;0;0;0;0;0;0;0;100;94.88;5.12;0.36;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;074_A53.d;2.505;2516706;596219;82701;16030;0;0;0;0;0;0;0;0;0;0;0;0;0;3211656;95.52;4.11;0.09;0.29;0;0;0;0;0;0;0;0;0;0;0;0;0;100;95.52;4.48;0.32;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;075_A54.d;2.509;4120509;1035103;141509;20843;0;0;0;0;0;0;0;0;0;0;0;0;0;5317963;94.43;5.43;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0;0;100;94.43;5.57;0.37;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;076_A55.d;2.502;3587053;898438;125368;14401;4616;0;0;0;0;0;0;0;0;0;0;0;0;4629876;94.46;5.36;0.05;0.04;0.09;0;0;0;0;0;0;0;0;0;0;0;0;100;94.46;5.54;0.37;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;077_A56.d;2.508;2571139;624097;94761;13663;4931;0;0;0;0;0;0;0;0;0;0;0;0;3308591;94.74;4.63;0.37;0.13;0.13;0;0;0;0;0;0;0;0;0;0;0;0;100;94.74;5.26;0.39;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;078_A57.d;2.51;4958848;1202173;173296;25370;0;0;0;0;0;0;0;0;0;0;0;0;0;6359687;95.05;4.62;0.19;0.13;0;0;0;0;0;0;0;0;0;0;0;0;0;100;95.05;4.95;0.34;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;079_A58.d;2.507;1738575;404246;60402;8047;0;0;0;0;0;0;0;0;0;0;0;0;0;2211268;95.87;3.69;0.36;0.08;0;0;0;0;0;0;0;0;0;0;0;0;0;100;95.87;4.13;0.29;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;080_A59.d;2.505;3298020;806383;107914;14023;4340;0;0;0;0;0;0;0;0;0;0;0;0;4230680;95.02;4.81;0;0.09;0.09;0;0;0;0;0;0;0;0;0;0;0;0;100;95.02;4.98;0.34;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;081_A60.d;2.509;2176601;531161;81407;9784;0;0;0;0;0;0;0;0;0;0;0;0;0;2798953;94.8;4.76;0.41;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;100;94.8;5.2;0.35;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;082_QC_6.d;2.504;1974738;489411;66785;10939;0;0;0;0;0;0;0;0;0;0;0;0;0;2541872;94.68;5.12;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;94.68;5.32;0.36;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;083_A61.d;2.504;907003;173932;32998;5331;0;0;0;0;6052;0;0;0;0;0;0;0;0;1125317;97.93;0;1.23;0.14;0;0;0;0;0.7;0;0;0;0;0;0;0;0;100;97.93;2.07;0.53;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;084_A62.d;2.508;1145264;234251;39479;6509;0;0;0;0;0;0;0;0;0;0;0;0;0;1425503;97.99;1;0.85;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;100;97.99;2.01;0.2;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;085_A63.d;2.506;691047;147804;26322;5387;0;0;0;0;0;0;0;0;0;0;0;0;0;870560;96.77;1.89;1.02;0.32;0;0;0;0;0;0;0;0;0;0;0;0;0;100;96.77;3.23;0.31;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;086_A64.d;2.503;1502039;305927;44111;9583;0;0;0;0;0;0;0;0;0;0;0;0;0;1861660;98.4;0.92;0.35;0.32;0;0;0;0;0;0;0;0;0;0;0;0;0;100;98.4;1.6;0.16;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;087_A65.d;2.503;1286133;278053;42266;6052;0;0;0;0;0;0;0;0;0;0;0;0;0;1612504;97.28;2.14;0.47;0.11;0;0;0;0;0;0;0;0;0;0;0;0;0;100;97.28;2.72;0.21;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;088_A66.d;2.51;1374064;302302;45908;8764;0;0;0;0;0;0;0;0;0;0;0;0;0;1731038;96.78;2.5;0.45;0.26;0;0;0;0;0;0;0;0;0;0;0;0;0;100;96.78;3.22;0.26;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;089_A67.d;2.506;900261;184179;29653;4474;0;0;0;0;0;0;0;0;0;0;0;0;0;1118567;98.18;1.01;0.7;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;100;98.18;1.82;0.17;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;090_A68.d;2.504;1273376;278830;42196;6867;0;0;0;0;0;0;0;0;0;0;0;0;0;1601268;96.97;2.41;0.44;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;100;96.97;3.03;0.24;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;091_A69.d;2.514;1384086;312056;44690;5641;0;0;0;0;0;0;0;0;0;0;0;0;0;1746471;96.65;3.04;0.24;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;100;96.65;3.35;0.23;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;092_A70.d;2.513;845102;167284;31156;0;3902;0;0;0;0;0;0;0;0;0;0;0;0;1047443;98.1;0.34;1.14;0;0.42;0;0;0;0;0;0;0;0;0;0;0;0;100;98.1;1.9;0.27;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;093_QC_7.d;2.509;2005265;474422;72238;9408;0;0;0;0;0;0;0;0;0;0;0;0;0;2561333;95.45;4.07;0.41;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;100;95.45;4.55;0.32;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;094_A71.d;2.516;837861;169233;30266;3563;0;0;0;0;0;0;0;0;0;0;0;0;0;1040923;98.19;0.74;1.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;98.19;1.81;0.18;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;095_A72.d;2.508;562979;115139;21822;2577;0;0;0;0;0;0;0;0;0;0;0;0;0;702516;97.74;0.98;1.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;97.74;2.26;0.22;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;096_A73.d;2.515;860569;178909;26239;4825;0;0;0;0;0;0;0;0;0;0;0;0;0;1070543;98.04;1.34;0.39;0.23;0;0;0;0;0;0;0;0;0;0;0;0;0;100;98.04;1.96;0.18;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;097_A74.d;2.514;477835;105483;13580;3702;0;0;0;0;2335;0;0;0;0;0;0;0;0;602934;96.45;2.57;0;0.47;0;0;0;0;0.5;0;0;0;0;0;0;0;0;100;96.45;3.55;0.5;;;;;;;;;;;;;;;;;;;;
